header-view,name*,_new_name,blacklist_action,blacklist_log_query,blacklist_redirect_addresses,blacklist_redirect_ttl,blacklist_rulesets,comment,custom_root_name_servers,ddns_principal_group,ddns_principal_tracking,ddns_restrict_patterns,ddns_restrict_patterns_list,ddns_restrict_protected,ddns_restrict_secure,ddns_restrict_static,disable,dns64_groups,enable_blacklist,enable_dns64,enable_match_recursive_only,filter_aaaa,filter_aaaa_list,forwarders,forwarders_only,lame_ttl,match_clients,match_destinations,max_cache_ttl,max_ncache_ttl,network_view,nxdomain_log_query,nxdomain_redirect,nxdomain_redirect_addresses,nxdomain_redirect_ttl,nxdomain_rulesets,recursion,root_name_server_type,rpz_drop_ip_rule_enabled,rpz_drop_ip_rule_min_prefix_length_ipv4,rpz_drop_ip_rule_min_prefix_length_ipv6
mxrecord,mx1.DDI_stats_4.com,,exchanger.stub_2.com,,10,,,FALSE,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx2.DDI_stats_4.com,,exchanger.stub_2.com,,10,,,FALSE,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx3.DDI_stats_4.com,,exchanger.stub_2.com,,10,,,FALSE,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx4.DDI_stats_4.com,,exchanger.stub_2.com,,10,,,FALSE,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx5.DDI_stats_4.com,,exchanger.stub_2.com,,10,,,FALSE,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx6.DDI_stats_4.com,,exchanger.stub_2.com,,10,,,FALSE,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx7.DDI_stats_4.com,,exchanger.stub_2.com,,10,,,FALSE,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt1.DDI_stats_4.com,,string_1,,,FALSE,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt2.DDI_stats_4.com,,string_2,,,FALSE,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt3.DDI_stats_4.com,,string_3,,,FALSE,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt4.DDI_stats_4.com,,string_4,,,FALSE,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt5.DDI_stats_4.com,,string_5,,,FALSE,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt6.DDI_stats_4.com,,string_6,,,FALSE,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt7.DDI_stats_4.com,,string_7,,,FALSE,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt8.DDI_stats_4.com,,string_8,,,FALSE,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv1.DDI_stats_4.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv2.DDI_stats_4.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv3.DDI_stats_4.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv4.DDI_stats_4.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv5.DDI_stats_4.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv6.DDI_stats_4.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv7.DDI_stats_4.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv8.DDI_stats_4.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv9.DDI_stats_4.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,
naptrrecord,naptr1.DDI_stats_4.com,,10,,10,,.,,,FALSE,U,,,,http+E2U,,,view1,,,,,,,,,,,,,,,,,,,,,,,
naptrrecord,naptr2.DDI_stats_4.com,,10,,10,,.,,,FALSE,U,,,,http+E2U,,,view1,,,,,,,,,,,,,,,,,,,,,,,
naptrrecord,naptr3.DDI_stats_4.com,,10,,10,,.,,,FALSE,U,,,,http+E2U,,,view1,,,,,,,,,,,,,,,,,,,,,,,
naptrrecord,naptr4.DDI_stats_4.com,,10,,10,,.,,,FALSE,U,,,,http+E2U,,,view1,,,,,,,,,,,,,,,,,,,,,,,
naptrrecord,naptr5.DDI_stats_4.com,,10,,10,,.,,,FALSE,U,,,,http+E2U,,,view1,,,,,,,,,,,,,,,,,,,,,,,
ptrrecord,forward_ptr1.com,,,,,FALSE,ptr.DDI_stats_4.com,,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptrrecord,forward_ptr2.com,,,,,FALSE,ptr.DDI_stats_4.com,,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptrrecord,forward_ptr3.com,,,,,FALSE,ptr.DDI_stats_4.com,,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptrrecord,forward_ptr4.com,,,,,FALSE,ptr.DDI_stats_4.com,,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptrrecord,forward_ptr5.com,,,,,FALSE,ptr.DDI_stats_4.com,,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptrrecord,forward_ptr6.com,,,,,FALSE,ptr.DDI_stats_4.com,,,view1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
authzone,DDI_stats_1.com,FORWARD,,,,,,,FALSE,FALSE,FALSE,,,,,FALSE,,nsg1,,,,,,,,,,1,,view2,Authoritative,,,,,,,,,,
arecord,25.0.0.1,,arec1.DDI_stats_1.com,,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaaarecord,2000:1:1::1,,aaaa1.DDI_stats_1.com,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaaarecord,2000:1:1::2,,aaaa2.DDI_stats_1.com,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnamerecord,cname1.DDI_stats_1.com,,arec1.test_2.com,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnamerecord,cname2.DDI_stats_1.com,,arec1.test_2.com,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnamerecord,cname3.DDI_stats_1.com,,arec1.test_2.com,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dnamerecord,dname1.DDI_stats_1.com,,1DDI_stats_11.com,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dnamerecord,dname2.DDI_stats_1.com,,2DDI_stats_21.com,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dnamerecord,dname3.DDI_stats_1.com,,3DDI_stats_31.com,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dnamerecord,dname4.DDI_stats_1.com,,4DDI_stats_41.com,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx1.DDI_stats_1.com,,exchanger.stub_2.com,,10,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx2.DDI_stats_1.com,,exchanger.stub_2.com,,10,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx3.DDI_stats_1.com,,exchanger.stub_2.com,,10,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx4.DDI_stats_1.com,,exchanger.stub_2.com,,10,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx5.DDI_stats_1.com,,exchanger.stub_2.com,,10,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx6.DDI_stats_1.com,,exchanger.stub_2.com,,10,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx7.DDI_stats_1.com,,exchanger.stub_2.com,,10,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt1.DDI_stats_1.com,,string_1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt2.DDI_stats_1.com,,string_2,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt3.DDI_stats_1.com,,string_3,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt4.DDI_stats_1.com,,string_4,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt5.DDI_stats_1.com,,string_5,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt6.DDI_stats_1.com,,string_6,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt7.DDI_stats_1.com,,string_7,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt8.DDI_stats_1.com,,string_8,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv1.DDI_stats_1.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv2.DDI_stats_1.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv3.DDI_stats_1.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv4.DDI_stats_1.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv5.DDI_stats_1.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv6.DDI_stats_1.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv7.DDI_stats_1.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv8.DDI_stats_1.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv9.DDI_stats_1.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
naptrrecord,naptr1.DDI_stats_1.com,,10,,10,,.,,,FALSE,U,,,,http+E2U,,,view2,,,,,,,,,,,,,,,,,,,,,,,
naptrrecord,naptr2.DDI_stats_1.com,,10,,10,,.,,,FALSE,U,,,,http+E2U,,,view2,,,,,,,,,,,,,,,,,,,,,,,
naptrrecord,naptr3.DDI_stats_1.com,,10,,10,,.,,,FALSE,U,,,,http+E2U,,,view2,,,,,,,,,,,,,,,,,,,,,,,
naptrrecord,naptr4.DDI_stats_1.com,,10,,10,,.,,,FALSE,U,,,,http+E2U,,,view2,,,,,,,,,,,,,,,,,,,,,,,
naptrrecord,naptr5.DDI_stats_1.com,,10,,10,,.,,,FALSE,U,,,,http+E2U,,,view2,,,,,,,,,,,,,,,,,,,,,,,
ptrrecord,forward_ptr1.com,,,,,FALSE,ptr.DDI_stats_1.com,,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptrrecord,forward_ptr2.com,,,,,FALSE,ptr.DDI_stats_1.com,,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptrrecord,forward_ptr3.com,,,,,FALSE,ptr.DDI_stats_1.com,,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptrrecord,forward_ptr4.com,,,,,FALSE,ptr.DDI_stats_1.com,,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptrrecord,forward_ptr5.com,,,,,FALSE,ptr.DDI_stats_1.com,,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptrrecord,forward_ptr6.com,,,,,FALSE,ptr.DDI_stats_1.com,,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
authzone,DDI_stats_2.com,FORWARD,,,,,,,FALSE,FALSE,FALSE,,,,,FALSE,,nsg1,,,,,,,,,,1,,view2,Authoritative,,,,,,,,,,
arecord,25.0.0.1,,arec1.DDI_stats_2.com,,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaaarecord,2000:1:2::1,,aaaa1.DDI_stats_2.com,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaaarecord,2000:1:2::2,,aaaa2.DDI_stats_2.com,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnamerecord,cname1.DDI_stats_2.com,,arec1.test_2.com,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnamerecord,cname2.DDI_stats_2.com,,arec1.test_2.com,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnamerecord,cname3.DDI_stats_2.com,,arec1.test_2.com,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dnamerecord,dname1.DDI_stats_2.com,,1DDI_stats_12.com,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dnamerecord,dname2.DDI_stats_2.com,,2DDI_stats_22.com,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dnamerecord,dname3.DDI_stats_2.com,,3DDI_stats_32.com,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dnamerecord,dname4.DDI_stats_2.com,,4DDI_stats_42.com,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx1.DDI_stats_2.com,,exchanger.stub_2.com,,10,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx2.DDI_stats_2.com,,exchanger.stub_2.com,,10,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx3.DDI_stats_2.com,,exchanger.stub_2.com,,10,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx4.DDI_stats_2.com,,exchanger.stub_2.com,,10,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx5.DDI_stats_2.com,,exchanger.stub_2.com,,10,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx6.DDI_stats_2.com,,exchanger.stub_2.com,,10,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx7.DDI_stats_2.com,,exchanger.stub_2.com,,10,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt1.DDI_stats_2.com,,string_1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt2.DDI_stats_2.com,,string_2,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt3.DDI_stats_2.com,,string_3,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt4.DDI_stats_2.com,,string_4,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt5.DDI_stats_2.com,,string_5,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt6.DDI_stats_2.com,,string_6,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt7.DDI_stats_2.com,,string_7,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt8.DDI_stats_2.com,,string_8,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv1.DDI_stats_2.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv2.DDI_stats_2.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv3.DDI_stats_2.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv4.DDI_stats_2.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv5.DDI_stats_2.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv6.DDI_stats_2.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv7.DDI_stats_2.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv8.DDI_stats_2.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv9.DDI_stats_2.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
naptrrecord,naptr1.DDI_stats_2.com,,10,,10,,.,,,FALSE,U,,,,http+E2U,,,view2,,,,,,,,,,,,,,,,,,,,,,,
naptrrecord,naptr2.DDI_stats_2.com,,10,,10,,.,,,FALSE,U,,,,http+E2U,,,view2,,,,,,,,,,,,,,,,,,,,,,,
naptrrecord,naptr3.DDI_stats_2.com,,10,,10,,.,,,FALSE,U,,,,http+E2U,,,view2,,,,,,,,,,,,,,,,,,,,,,,
naptrrecord,naptr4.DDI_stats_2.com,,10,,10,,.,,,FALSE,U,,,,http+E2U,,,view2,,,,,,,,,,,,,,,,,,,,,,,
naptrrecord,naptr5.DDI_stats_2.com,,10,,10,,.,,,FALSE,U,,,,http+E2U,,,view2,,,,,,,,,,,,,,,,,,,,,,,
ptrrecord,forward_ptr1.com,,,,,FALSE,ptr.DDI_stats_2.com,,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptrrecord,forward_ptr2.com,,,,,FALSE,ptr.DDI_stats_2.com,,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptrrecord,forward_ptr3.com,,,,,FALSE,ptr.DDI_stats_2.com,,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptrrecord,forward_ptr4.com,,,,,FALSE,ptr.DDI_stats_2.com,,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptrrecord,forward_ptr5.com,,,,,FALSE,ptr.DDI_stats_2.com,,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptrrecord,forward_ptr6.com,,,,,FALSE,ptr.DDI_stats_2.com,,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
authzone,DDI_stats_3.com,FORWARD,,,,,,,FALSE,FALSE,FALSE,,,,,FALSE,,nsg1,,,,,,,,,,1,,view2,Authoritative,,,,,,,,,,
arecord,25.0.0.1,,arec1.DDI_stats_3.com,,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaaarecord,2000:1:3::1,,aaaa1.DDI_stats_3.com,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaaarecord,2000:1:3::2,,aaaa2.DDI_stats_3.com,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnamerecord,cname1.DDI_stats_3.com,,arec1.test_2.com,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnamerecord,cname2.DDI_stats_3.com,,arec1.test_2.com,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnamerecord,cname3.DDI_stats_3.com,,arec1.test_2.com,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dnamerecord,dname1.DDI_stats_3.com,,1DDI_stats_13.com,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dnamerecord,dname2.DDI_stats_3.com,,2DDI_stats_23.com,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dnamerecord,dname3.DDI_stats_3.com,,3DDI_stats_33.com,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dnamerecord,dname4.DDI_stats_3.com,,4DDI_stats_43.com,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx1.DDI_stats_3.com,,exchanger.stub_2.com,,10,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx2.DDI_stats_3.com,,exchanger.stub_2.com,,10,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx3.DDI_stats_3.com,,exchanger.stub_2.com,,10,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx4.DDI_stats_3.com,,exchanger.stub_2.com,,10,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx5.DDI_stats_3.com,,exchanger.stub_2.com,,10,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx6.DDI_stats_3.com,,exchanger.stub_2.com,,10,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxrecord,mx7.DDI_stats_3.com,,exchanger.stub_2.com,,10,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt1.DDI_stats_3.com,,string_1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt2.DDI_stats_3.com,,string_2,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt3.DDI_stats_3.com,,string_3,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt4.DDI_stats_3.com,,string_4,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt5.DDI_stats_3.com,,string_5,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt6.DDI_stats_3.com,,string_6,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt7.DDI_stats_3.com,,string_7,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txtrecord,txt8.DDI_stats_3.com,,string_8,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv1.DDI_stats_3.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv2.DDI_stats_3.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv3.DDI_stats_3.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv4.DDI_stats_3.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv5.DDI_stats_3.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv6.DDI_stats_3.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv7.DDI_stats_3.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv8.DDI_stats_3.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvrecord,srv9.DDI_stats_3.com,,1,,1,,srv1.target.test.org,,1,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,
naptrrecord,naptr1.DDI_stats_3.com,,10,,10,,.,,,FALSE,U,,,,http+E2U,,,view2,,,,,,,,,,,,,,,,,,,,,,,
naptrrecord,naptr2.DDI_stats_3.com,,10,,10,,.,,,FALSE,U,,,,http+E2U,,,view2,,,,,,,,,,,,,,,,,,,,,,,
naptrrecord,naptr3.DDI_stats_3.com,,10,,10,,.,,,FALSE,U,,,,http+E2U,,,view2,,,,,,,,,,,,,,,,,,,,,,,
naptrrecord,naptr4.DDI_stats_3.com,,10,,10,,.,,,FALSE,U,,,,http+E2U,,,view2,,,,,,,,,,,,,,,,,,,,,,,
naptrrecord,naptr5.DDI_stats_3.com,,10,,10,,.,,,FALSE,U,,,,http+E2U,,,view2,,,,,,,,,,,,,,,,,,,,,,,
ptrrecord,forward_ptr1.com,,,,,FALSE,ptr.DDI_stats_3.com,,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptrrecord,forward_ptr2.com,,,,,FALSE,ptr.DDI_stats_3.com,,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptrrecord,forward_ptr3.com,,,,,FALSE,ptr.DDI_stats_3.com,,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptrrecord,forward_ptr4.com,,,,,FALSE,ptr.DDI_stats_3.com,,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptrrecord,forward_ptr5.com,,,,,FALSE,ptr.DDI_stats_3.com,,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptrrecord,forward_ptr6.com,,,,,FALSE,ptr.DDI_stats_3.com,,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
authzone,DDI_stats_4.com,FORWARD,,,,,,,FALSE,FALSE,FALSE,,,,,FALSE,,nsg1,,,,,,,,,,1,,view2,Authoritative,,,,,,,,,,
arecord,25.0.0.1,,arec1.DDI_stats_4.com,,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaaarecord,2000:1:4::1,,aaaa1.DDI_stats_4.com,,,FALSE,,view2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
